ngram,all,up,down,polarity,hawk/dov
착실/NNG,65,27.0,23.0,1.335263395668714,hawkish
망령/NNG,65,19.0,37.0,0.5840941981053335,dovish
친분/NNG,65,14.0,38.0,0.4190592723248791,dovish
짬짜미/NNG,65,4.0,51.0,0.08921149774983421,dovish
錦/NNG,65,31.0,26.0,1.3561863263700757,hawkish
영업권/NNG,65,31.0,24.0,1.4692018535675822,hawkish
높/VA;취약/NNG해외/NNG,65,0.5,65.0,0.008749589202387584,dovish
금융시장/NNG;확산/NNG,65,29.0,25.0,1.319438051720048,hawkish
채권관련이익/NNG,65,31.0,20.0,1.7630422242810986,hawkish
신용/NNG;낮/VA,65,19.0,31.0,0.6971446880612044,dovish
성장/NNG;나쁘/VA재현/NNG,65,65.0,0.5,147.8680575203502,hawkish
성장/NNG;제약/NNG재현/NNG,65,65.0,0.5,147.8680575203502,hawkish
예상/NNG;강세/NNG,65,16.0,34.0,0.5352689864990052,dovish
금/NNG;가격/NNG;낙폭/NNG;제한/NNG,65,21.0,34.0,0.7025405447799443,dovish
미/NNG;고용/NNG;지표/NNG;부진/NNG,65,19.0,29.0,0.7452236320654254,dovish
회전식/NNG,65,43.0,14.0,3.4935859743819,hawkish
국민/NNG;부담/NNG재현/NNG,65,65.0,0.5,147.8680575203502,hawkish
고육책/NNG,65,20.0,38.0,0.5986561033212559,dovish
일시적/VAX;둔화/NNG,65,28.0,21.0,1.5165954617471815,hawkish
기공/NNG,65,24.0,37.0,0.737803197606737,dovish
대량매매/NNG,65,18.0,37.0,0.5533523982050528,dovish
신용정보회사/NNG,65,36.0,14.0,2.924862676226707,hawkish
중중/NNG,65,25.0,18.0,1.5797869393199806,hawkish
변동성/NNG;줄/VV거시/NNG,65,65.0,0.5,147.8680575203502,hawkish
듀얼/NNG,65,17.0,27.0,0.7161700791583913,dovish
극한/NNG,65,19.0,34.0,0.6356319214675688,dovish
마이너스금리/NNG;효과/NNG,65,20.0,30.0,0.7582977308735908,dovish
통화/NNG;공급/NNG;늘/VV,65,14.0,39.0,0.40831416277808735,dovish
필사/NNG,65,27.0,21.0,1.4624313381133536,hawkish
채권시장/NNG;강하/VA,65,19.0,29.0,0.7452236320654254,dovish
수그러/VV,65,38.0,15.0,2.8815313773196447,hawkish
유동성/NNG;공급/NNG;늘/VV,64,19.0,33.0,0.6548934948453738,dovish
예상/NNG;어렵/VA추경안/NNG,64,0.5,64.0,0.00888630153367489,dovish
구직단념자/NNG,64,18.0,31.0,0.6604528623737727,dovish
참여의사/NNG,64,30.0,25.0,1.3649359155724632,hawkish
계속기업/NNG,64,15.0,34.0,0.5018146748428174,dovish
謝/NNG,64,37.0,17.0,2.475619062557899,hawkish
유통산업/NNG,64,18.0,39.0,0.5249753521432552,dovish
낙찰/NNG;금리/NNG;높/VA,64,21.0,33.0,0.7238296521975184,dovish
적자/NNG;늘/VV적자/NNG,64,0.5,64.0,0.00888630153367489,dovish
외국인/NNG;금리/NNG;인상/NNG,64,31.0,22.0,1.6027656584373624,hawkish
기업규제/NNG,64,34.0,24.0,1.6113826781063805,hawkish
비농업/NNG;신규/NNG;고용/NNG;증가/NNG,64,28.0,24.0,1.327021029028784,hawkish
원화/NNG;절상/NNG환율/NNG,64,0.5,64.0,0.00888630153367489,dovish
부닥칠/VV,64,32.0,18.0,2.022127282329575,hawkish
검출/NNG,64,39.0,18.0,2.4644676253391697,hawkish
원유/NNG;수요/NNG;줄/VV,64,33.0,22.0,1.7061698944655792,hawkish
중소수출기업/NNG,64,19.0,38.0,0.5687232981551931,dovish
단임/NNG,64,34.0,17.0,2.2748931926207723,hawkish
건설/NNG;투자/NNG;부진/NNG,64,32.0,23.0,1.5825343948666242,hawkish
국제/NNG;유가/NNG;불안/NNG,64,30.0,26.0,1.3124383803581379,hawkish
산업/NNG;활성화/NNG,64,27.0,22.0,1.3959571863809286,hawkish
속담/NNG,64,30.0,25.0,1.3649359155724632,hawkish
수요/NNG;떨어/VV,64,34.0,21.0,1.841580203550149,hawkish
금리/NNG;인하/NNG가계/NNG,64,64.0,0.5,145.5931643277294,hawkish
개인형퇴직연금/NNG,64,16.0,30.0,0.6066381846988725,dovish
위험자산/NNG;투자심리/NNG;개선/NNG,64,14.0,35.0,0.4549786385241545,dovish
순매도량/NNG,64,28.0,16.0,1.9905315435431756,hawkish
세대주/NNG,64,36.0,25.0,1.637923098686956,hawkish
바닥날/VV,64,18.0,28.0,0.7312156690566768,dovish
fed/NNG;금리/NNG;인상/NNG;속도/NNG;높/VV,64,36.0,17.0,2.4087104392455236,hawkish
코리아펀드/NNG,64,33.0,15.0,2.5023825118828493,hawkish
예감/NNG,64,12.0,40.0,0.34123397889311585,dovish
하락/NNG;fed/NNG;금리/NNG;인상/NNG,64,29.0,23.0,1.4341717953478783,hawkish
경기/NNG;진작/NNG추경/NNG,64,0.5,64.0,0.00888630153367489,dovish
쏙/MAG,64,33.0,17.0,2.2079845693083966,hawkish
향해서/VV,64,18.0,29.0,0.7060013356409294,dovish
들려온/VV,64,30.0,24.0,1.4218082453879826,hawkish
자산/NNG;가격/NNG;떨어/VV,64,16.0,35.0,0.519975586884748,dovish
방준/NNG,64,35.0,21.0,1.8957443271839767,hawkish
부진/NNG;오르/VV,64,30.0,26.0,1.3124383803581379,hawkish
에어버스/NNG,64,14.0,37.0,0.43038519860392993,dovish
안정성/NNG;확보/NNG재현/NNG,64,64.0,0.5,145.5931643277294,hawkish
자동화/NNG,64,29.0,21.0,1.5707595853810095,hawkish
소비/NNG;증대/NNG,64,20.0,30.0,0.7582977308735908,dovish
본예산/NNG,64,26.0,22.0,1.34425506836682,hawkish
금리/NNG;인상/NNG;지준율/NNG;인상/NNG,64,43.0,15.0,3.26068024275644,hawkish
무디/NNG,64,29.0,21.0,1.5707595853810095,hawkish
한가/NNG,64,29.0,22.0,1.4993614224091456,hawkish
강하/VA;비판/NNG,64,28.0,22.0,1.447659304395037,hawkish
건전성/NNG;훼손/NNG,64,10.0,48.0,0.23696804089799714,dovish
브랜드이미지/NNG,64,20.0,33.0,0.6893615735214462,dovish
펜딩/NNG;주택/NNG;판매/NNG;지수/NNG;상승/NNG,64,22.0,37.0,0.6763195978061755,dovish
廣州/NNG,64,28.0,12.0,2.654042058057568,hawkish
패널티/NNG,64,22.0,33.0,0.7582977308735906,dovish
전승절/NNG,64,13.0,42.0,0.3520668036198814,dovish
변동성/NNG;높/VA기자/NNG,64,14.0,34.0,0.46836036318662955,dovish
수출/NNG;회복/NNG성과연봉제/NNG,64,64.0,0.5,145.5931643277294,hawkish
과감/NNG;금리/NNG;인하/NNG,64,20.0,31.0,0.7338365137486362,dovish
쥔/NNG,64,20.0,32.0,0.7109041226939913,dovish
한미연합훈련/NNG,64,35.0,18.0,2.2117017150479725,hawkish
자체사업/NNG,64,17.0,33.0,0.5859573374932292,dovish
경기/NNG;위험/NNG재현/NNG,64,0.5,64.0,0.00888630153367489,dovish
